source_section,website_product_name,top_products_pcode_reference_only,products_json_code,status,suggested_lookup_code,candidate_lookup_code,lookup_source,match_score,matched_product_name,matched_category,matched_price,matched_unit,matched_open_price,matched_product_id,active_lookup_count,products_json_code_lookup_count,products_json_code_matches_suggested
top_products,(S) CAPSICUM TRAY KG,8723,,safe,796,796,exact_active_db_name,1,(S) CAPSICUM TRAY KG,Vegetables,1.49,kg,0,1a815f6a-f612-4eda-aa1d-241e679d6671,1,,
top_products,(S) CHILLI BIRDS EYE,404,,safe,742,742,exact_active_db_name,1,(S) CHILLI BIRDS EYE,Vegetables,39.99,each,0,ca320c2f-a591-43f7-b2e6-407e07b6c781,1,,
top_products,(S) FRUIT & VEG EA,386,,safe,723,723,exact_active_db_name,1,(S) FRUIT & VEG EA,Fruit,0,each,1,c24b4a51-2a14-4eb4-9d47-0bbd96195cec,1,,
top_products,(S) KG FRESH GALANGAL,2131,,safe,785,785,exact_active_db_name,1,(S) KG FRESH GALANGAL,Vegetables,15.5,kg,0,6ecdff66-9b3a-402b-8efe-0ffeda94c8e2,1,,
top_products,(S) KG FRESH TUMERIC,2132,,safe,786,786,exact_active_db_name,1,(S) KG FRESH TUMERIC,Vegetables,15.9,kg,0,adb66d51-90e4-4c8a-817e-02508a56fd0b,1,,
top_products,(S) KG HOT GREEN CHILLI,2128,,safe,782,782,exact_active_db_name,1,(S) KG HOT GREEN CHILLI,Vegetables,19.99,kg,0,478f304f-2d6c-4bc2-bc0d-2fb30161f7af,1,,
top_products,(S) KG JALAPENO CHILLI,2129,,safe,783,783,exact_active_db_name,1,(S) KG JALAPENO CHILLI,Vegetables,29.99,kg,0,a274d148-55b8-4b10-aa2c-3695acf9cf20,1,,
top_products,(S) OKRA KG,1285,,safe,773,773,exact_active_db_name,1,(S) OKRA KG,Vegetables,12.9,kg,0,cca1c3f9-a70f-40ff-8877-bb69c8d51597,1,,
top_products,(S) PAW PAW CUT,372,,safe,709,709,exact_active_db_name,1,(S) PAW PAW CUT,Fruit,4.89,each,0,228fad78-6ca2-4395-afe2-c2e9c0c7ed3f,1,,
top_products,(S) PAW PAW RED CUT KG,394,,safe,732,732,exact_active_db_name,1,(S) PAW PAW RED CUT KG,Fruit,5.99,kg,0,58be16ef-9130-4ce4-bed7-036e46e25889,1,,
top_products,(S) RED PAPAYA KG,8722,,safe,795,795,exact_active_db_name,1,(S) RED PAPAYA KG,Fruit,5.99,kg,0,778d15c5-5d54-4337-874d-be265328b86a,1,,
top_products,(S) SEEDLESS WATERMELON CUT KG,1834,,safe,799,799,exact_active_db_name,1,(S) SEEDLESS WATERMELON CUT KG,Fruit,1.89,kg,0,c33d8cac-f730-4078-aa5c-a61997a03e43,1,,
top_products,(S) WATERMELON KG,377,,safe,714,714,exact_active_db_name,1,(S) WATERMELON KG,Fruit,2.29,kg,0,3c12f5fa-663f-4d45-9a76-1f6e7c797cb7,1,,
top_products,(S)SEEDLESS WATERMELON WHOLE,9962,,safe,719,719,exact_active_db_name,1,(S)SEEDLESS WATERMELON WHOLE,Fruit,1.69,each,0,779372af-ecee-4ee6-b5bb-0be83342ad3a,1,,
top_products,2KG BROWN ONIONS,19665,,safe,20153,20153,loose_active_db_name,1,Brown Onion Bag 2kg,Onions,3.99,each,0,p-kb-pg31-onion-bag,1,,
top_products,AEGEAN NATURAL AUST ALMONDS,15116,,manual_review,,9317616187522,best_active_db_name_match,0.75,AEGEAN NATURAL AUST ALMONDS 500G,Dried Fruit & Nuts,9.45,each,0,a3e0df8c-c126-49aa-b639-36625d7de151,1,,
top_products,APPLES KANZI KG,21090,,safe,20308,20308,loose_active_db_name,1,Kanzi Apple,Apples,7.99,kg,0,2b95e9d9-c52b-498a-9345-3e5aa7c89435,1,,
top_products,ASIAN VEGETABLES ASST EA,1007370,,manual_review,,20044,best_active_db_name_match,0.5,Asian Vege,Vegetables,2.99,each,0,p-kb-pg4-asian-vege,1,,
top_products,ASSORTED LETTUCE BAGS,22756,,safe,22756,22756,exact_active_db_name,1,ASSORTED LETTUCE BAGS,Vegetables,2.99,each,0,bf95474b-627e-49fa-86dd-74f3a69e57d8,1,,
top_products,AUSTRALIAN D/ROAST ALMONDS,24612,,manual_review,,9315054009239,best_active_db_name_match,0.75,AUSTRALIAN D/ROAST ALMONDS 150G,Dried Fruit & Nuts,6.85,each,0,c24a557c-b001-4e9b-abed-e116a7104dff,1,,
top_products,AUSTRALIAN RED PEANUTS 175G,24607,,safe,9315054009352,9315054009352,exact_active_db_name,1,AUSTRALIAN RED PEANUTS 175G,Dried Fruit & Nuts,5.5,each,0,d0a43ef4-a119-4014-bbf6-defa6017ce7c,1,,
top_products,AUSTRALIAN SMOKED ALMONDS 150G,24604,,safe,9315054009253,9315054009253,exact_active_db_name,1,AUSTRALIAN SMOKED ALMONDS 150G,Dried Fruit & Nuts,6.99,each,0,7b23c829-17ee-4180-8257-3c79e363ce89,1,,
top_products,AVOCADO GREEN SKIN LGE SHEPHER,11823,,safe,41522,41522,curated_produce_alias,1,Shepard,Fruit,0,each,1,p-kb-pg9-btn2,1,,
top_products,AVOCADO NET BAG,9489,,safe,20081,20081,loose_active_db_name,1,Sm Avocado,Fruit,1.5,each,0,p-kb-pg9-avo-sm,1,,
top_products,BANANAS CAVENDISH KG,1007847,,safe,20341,20341,loose_active_db_name,1,Cavendish Banana,Bananas,4.99,kg,0,9f6a5df7-9e75-4a21-9747-c2b61e6dc347,1,,
top_products,BASIL FRESH  LGE BUNCH,1007733,,safe,3312,3312,loose_active_db_name,1,BASIL LARGE BUNCH,Fresh Herbs,3.89,each,0,5c6b98f6-cd3d-44ae-bd96-631db4267706,1,,
top_products,BEAN SPROUTS 250G,22572,,safe,9319224400055,9319224400055,exact_active_db_name,1,BEAN SPROUTS 250G,Fruit,2.99,each,0,e29538fc-c04c-4603-a7a7-095b9608f3f5,1,,
top_products,BROCCOLI,1007281,,safe,1161,1161,exact_active_db_name,1,Broccoli,Vegetables,5.59,kg,0,ae3a432d-bddd-4980-8a06-004df4d6afae,1,,
top_products,CARROTS  BAG,18223,,safe,1374,1374,exact_active_db_name,1,CARROTS BAG,Vegetables,2.69,each,0,268ee582-2a32-4479-a581-d2d22fb55d1f,1,,
